Station Name,Mean Temperature (C),Total Precipitation (mm),Province,Year
DOUCETTE LO,15.8,86.3,Alberta,1985
ECONOMY LO,16.3,19.8,Alberta,1985
EDRA LO,13.7,52.6,Alberta,1985
ELMWORTH CDA EPF,16.1,29.0,Alberta,1985
EUREKA RIVER,14.9,27.0,Alberta,1985
FAIRVIEW,16.9,39.5,Alberta,1985
FOGGY LO,13.0,87.3,Alberta,1985
FONTAS LO,13.1,51.3,Alberta,1985
FORT CHIPEWYAN A,15.0,39.2,Alberta,1985
FORT VERMILION CDA,16.2,58.7,Alberta,1985
FORT VERMILION RS,13.9,62.6,Alberta,1985
GRANDE CACHE RS,14.7,14.8,Alberta,1985
GRANDE PRAIRIE A,16.8,9.3,Alberta,1985
GROVEDALE RS,15.8,9.6,Alberta,1985
HAWK HILLS LO,14.4,36.0,Alberta,1985
HAY CAMP TOWER,15.0,48.9,Alberta,1985
HIGH LEVEL A,14.9,63.3,Alberta,1985
HINES CREEK RS,15.2,23.3,Alberta,1985
HOTCHKISS LO,13.9,72.8,Alberta,1985
JEAN LO,14.1,62.9,Alberta,1985
KAKWA LO,15.1,22.2,Alberta,1985
KEG RIVER RS,15.1,30.7,Alberta,1985
KEG LO,13.6,70.7,Alberta,1985
KLEWI TOWER,14.9,86.0,Alberta,1985
KSITUAN,16.3,27.0,Alberta,1985
LAMBERT CREEK LO,14.4,47.0,Alberta,1985
LEGEND LO,14.0,70.7,Alberta,1985
KIMIWAN LO,14.6,75.0,Alberta,1985
MANNING,16.3,40.7,Alberta,1985
MUSKWA LO,15.8,34.6,Alberta,1985
NORTH STAR,16.4,72.6,Alberta,1985
NOSE MOUNTAIN LO,13.2,10.4,Alberta,1985
NOTIKEWIN LO,14.7,63.2,Alberta,1985
NOTIKEWIN EAST,15.9,48.3,Alberta,1985
OTTER LAKES LO,14.5,45.9,Alberta,1985
PANNY LO,14.6,91.7,Alberta,1985
PARSON LAKE TOWER,15.7,27.3,Alberta,1985
PEACE RIVER A,16.7,56.5,Alberta,1985
PETITOT LO,13.2,101.6,Alberta,1985
PONTON LO,13.1,96.1,Alberta,1985
PUSKWASKAU LO,15.4,27.8,Alberta,1985
RAINBOW RS,14.8,76.7,Alberta,1985
RED EARTH LO,15.3,92.4,Alberta,1985
RED EARTH RS,15.3,56.5,Alberta,1985
SADDLE HILLS LO,15.1,26.7,Alberta,1985
SIMONETTE,15.7,32.8,Alberta,1985
SIMONETTE LO,14.5,46.8,Alberta,1985
RAINBOW LO,14.7,49.1,Alberta,1985
SMOKY LO,15.6,30.4,Alberta,1985
SNUFF MOUNTAIN LO,15.8,15.5,Alberta,1985
STEEN LO,13.5,67.0,Alberta,1985
SWEATHOUSE LO,15.4,31.4,Alberta,1985
TALBOT LAKE LO,14.2,102.0,Alberta,1985
TEEPEE LO,14.6,35.6,Alberta,1985
TROUT MOUNTAIN LO,14.1,51.4,Alberta,1985
VALLEYVIEW RS,17.4,27.6,Alberta,1985
WABASCA RS,16.5,54.6,Alberta,1985
WADLIN LO,14.2,46.6,Alberta,1985
WANHAM CDA,17.5,37.9,Alberta,1985
WATINO,18.1,34.2,Alberta,1985
WATT MOUNTAIN LO,13.1,110.6,Alberta,1985
WHITEFISH LO,15.1,39.9,Alberta,1985
WHITE MOUNTAIN LO,15.1,22.8,Alberta,1985
WHITEMUD LO,15.0,18.8,Alberta,1985
WHITESAND LO,11.2,90.7,Alberta,1985
WOKING CDA,15.2,26.9,Alberta,1985
WORSLEY RS,14.5,33.2,Alberta,1985
YATES LO,14.8,62.2,Alberta,1985
ZAMA LO,15.0,72.2,Alberta,1985
DAVIDSON LAKE TOWER,15.6,50.8,Alberta,1985
CLEARDALE,15.5,33.2,Alberta,1985
CROWE TOWER,12.3,60.6,Alberta,1985
COLD LAKE A,17.2,40.6,Alberta,1985
AMULET,20.6,11.2,Saskatchewan,1985
ATWATER,17.6,17.2,Saskatchewan,1985
BENSON,19.2,4.0,Saskatchewan,1985
BRIERCREST 2,20.0,18.6,Saskatchewan,1985
BROADVIEW,17.5,14.4,Saskatchewan,1985
BUFFALO POUND LAKE,19.3,17.5,Saskatchewan,1985
CARLYLE,18.9,4.0,Saskatchewan,1985
CEYLON,19.4,8.6,Saskatchewan,1985
COTE,17.3,41.2,Saskatchewan,1985
CUPAR,17.8,13.8,Saskatchewan,1985
DAHINDA,19.9,20.2,Saskatchewan,1985
DAVIDSON,17.7,9.0,Saskatchewan,1985
DAVIN 5,19.2,15.8,Saskatchewan,1985
DUVAL,19.1,25.2,Saskatchewan,1985
ESTEVAN A,20.8,8.6,Saskatchewan,1985
FENWOOD,17.9,9.4,Saskatchewan,1985
FERTILE,18.0,6.8,Saskatchewan,1985
FOAM LAKE,17.6,46.1,Saskatchewan,1985
GOOD SPIRIT LAKE,17.6,14.2,Saskatchewan,1985
GUERNSEY,18.1,79.7,Saskatchewan,1985
HANDSWORTH,19.5,13.4,Saskatchewan,1985
HEWARD,19.5,7.0,Saskatchewan,1985
HUMBOLDT,16.7,46.7,Saskatchewan,1985
INDIAN HEAD CDA,18.8,16.4,Saskatchewan,1985
INDIAN HEAD PFRA,18.9,12.1,Saskatchewan,1985
INSINGER,17.6,17.7,Saskatchewan,1985
KELLIHER,17.2,28.8,Saskatchewan,1985
KIPLING,18.2,13.9,Saskatchewan,1985
KUROKI,16.5,60.4,Saskatchewan,1985
LAKE ALMA,20.5,17.2,Saskatchewan,1985
LANGENBURG,17.0,12.8,Saskatchewan,1985
LAST MOUNTAIN CS,18.5,23.4,Saskatchewan,1985
LEROY,17.1,41.6,Saskatchewan,1985
LIPTON,18.2,10.2,Saskatchewan,1985
LIPTON 2,17.3,17.8,Saskatchewan,1985
LUMSDEN 3,19.3,17.0,Saskatchewan,1985
MARYFIELD,18.1,4.0,Saskatchewan,1985
MIDALE,20.2,4.2,Saskatchewan,1985
MOOSE JAW A,20.0,23.8,Saskatchewan,1985
MOOSE MOUNTAIN RESERVOIR,18.4,5.0,Saskatchewan,1985
MOOSOMIN,18.5,7.2,Saskatchewan,1985
MUENSTER,17.6,42.4,Saskatchewan,1985
NOKOMIS,17.8,37.2,Saskatchewan,1985
ORMISTON,20.0,26.2,Saskatchewan,1985
OUNGRE,20.5,9.6,Saskatchewan,1985
OXBOW,19.1,8.0,Saskatchewan,1985
PARKBEG,20.4,24.3,Saskatchewan,1985
PARKERVIEW,17.3,18.7,Saskatchewan,1985
PASWEGIN,16.7,42.4,Saskatchewan,1985
PREECEVILLE,17.4,44.5,Saskatchewan,1985
QU'APPELLE 1,18.7,20.0,Saskatchewan,1985
RAYMORE,17.4,39.4,Saskatchewan,1985
REGINA A,19.2,10.0,Saskatchewan,1985
REGINA CDA,18.5,11.0,Saskatchewan,1985
REGINA CITY GREENHOUSES,19.5,3.0,Saskatchewan,1985
ROCANVILLE,18.7,20.2,Saskatchewan,1985
SEDLEY,18.3,20.2,Saskatchewan,1985
SEMANS,18.3,28.0,Saskatchewan,1985
SERATH,18.4,21.5,Saskatchewan,1985
STORNOWAY,17.0,10.0,Saskatchewan,1985
STRASBOURG,19.4,26.4,Saskatchewan,1985
TUGASKE,19.4,21.6,Saskatchewan,1985
WAPELLA NEWFINLAND,17.5,4.6,Saskatchewan,1985
WAPELLA PIPESTONE,18.4,6.0,Saskatchewan,1985
WATROUS,18.3,40.2,Saskatchewan,1985
WAWOTA,18.0,4.4,Saskatchewan,1985
WEYBURN,19.5,8.8,Saskatchewan,1985
WHITEWOOD,17.4,11.6,Saskatchewan,1985
WILCOX,18.8,16.5,Saskatchewan,1985
WISHART,17.5,60.5,Saskatchewan,1985
WOLSELEY,18.6,13.8,Saskatchewan,1985
WYNYARD,17.3,48.2,Saskatchewan,1985
YELLOW GRASS,18.9,13.3,Saskatchewan,1985
YORKTON A,17.3,25.9,Saskatchewan,1985
ZEHNER,18.5,13.4,Saskatchewan,1985
REGINA UNIVERSITY,19.1,8.6,Saskatchewan,1985
ABBEY,19.6,24.0,Saskatchewan,1985
ALSASK HARDENE,19.2,20.6,Saskatchewan,1985
ANEROID,20.8,8.0,Saskatchewan,1985
ASSINIBOIA,19.7,14.8,Saskatchewan,1985
BEECHY,20.1,30.6,Saskatchewan,1985
CHAPLIN,20.2,28.8,Saskatchewan,1985
CODERRE,19.8,40.0,Saskatchewan,1985
COURVAL,19.8,22.1,Saskatchewan,1985
CYPRESS HILLS,17.0,3.4,Saskatchewan,1985
EASTLEIGH,20.3,26.0,Saskatchewan,1985
ELBOW,19.3,17.1,Saskatchewan,1985
ELROSE,20.6,15.2,Saskatchewan,1985
ESTON,19.5,11.0,Saskatchewan,1985
GOLDEN PRAIRIE,19.9,19.4,Saskatchewan,1985
GRAVELBOURG,19.7,24.7,Saskatchewan,1985
GULL LAKE CDA EPF,19.4,18.1,Saskatchewan,1985
HERBERT,19.3,32.0,Saskatchewan,1985
HERBERT 2,20.0,26.4,Saskatchewan,1985
INGEBRIGHT LAKE,20.6,11.8,Saskatchewan,1985
KINCAID,20.3,6.2,Saskatchewan,1985
KLINTONEL,17.8,1.0,Saskatchewan,1985
LEADER 2,20.0,29.8,Saskatchewan,1985
MAPLE CREEK NORTH,21.2,18.8,Saskatchewan,1985
NEIDPATH,20.2,33.2,Saskatchewan,1985
PALMER,19.4,32.5,Saskatchewan,1985
PENNANT,20.3,28.6,Saskatchewan,1985
PORTREEVE,19.0,18.6,Saskatchewan,1985
ROCK POINT,19.5,24.4,Saskatchewan,1985
SANCTUARY,20.3,8.4,Saskatchewan,1985
SHAMROCK,20.4,28.0,Saskatchewan,1985
SHAUNAVON 2,19.9,3.4,Saskatchewan,1985
STEWART VALLEY,19.7,35.8,Saskatchewan,1985
STRONGFIELD,18.5,37.2,Saskatchewan,1985
SWIFT CURRENT A,19.4,18.2,Saskatchewan,1985
SWIFT CURRENT CDA,19.8,24.8,Saskatchewan,1985
BENGOUGH,20.5,13.6,Saskatchewan,1985
BIG BEAVER,20.1,18.2,Saskatchewan,1985
CLAYDON,21.5,4.8,Saskatchewan,1985
CORONACH,20.0,15.4,Saskatchewan,1985
CORONACH SPC,20.6,28.7,Saskatchewan,1985
EASTEND 2,20.3,11.4,Saskatchewan,1985
FRONTIER,20.8,7.0,Saskatchewan,1985
MANKOTA,20.0,34.4,Saskatchewan,1985
TREELON,21.3,1.5,Saskatchewan,1985
VAL-MARIE,20.6,0.6,Saskatchewan,1985
WEST POPLAR RIVER,19.3,11.4,Saskatchewan,1985
WILLOW CREEK,21.5,4.8,Saskatchewan,1985
ARTLAND,17.7,47.6,Saskatchewan,1985
BAD LAKE IHD 102,19.3,23.2,Saskatchewan,1985
BIGGAR,18.7,61.1,Saskatchewan,1985
BUTTE ST PIERRE,16.0,18.3,Saskatchewan,1985
CANDO,18.0,51.8,Saskatchewan,1985
DENZIL,18.3,60.4,Saskatchewan,1985
GLASLYN 2,16.1,50.4,Saskatchewan,1985
HILLMOND,17.9,14.5,Saskatchewan,1985
KELFIELD,18.6,34.5,Saskatchewan,1985
KERROBERT,19.1,26.4,Saskatchewan,1985
KINDERSLEY A,18.7,18.6,Saskatchewan,1985
LLOYDMINSTER 12E,17.7,24.0,Saskatchewan,1985
NORTH BATTLEFORD A,18.1,38.9,Saskatchewan,1985
PAYNTON,17.7,33.0,Saskatchewan,1985
ROSETOWN,19.0,44.7,Saskatchewan,1985
RUDDELL,18.0,57.6,Saskatchewan,1985
ST DONATUS,18.4,34.0,Saskatchewan,1985
ST WALBURG,16.4,52.8,Saskatchewan,1985
SCOTSTOWN,17.8,49.6,Saskatchewan,1985
SCOTT CDA,17.9,38.0,Saskatchewan,1985
SONNINGDALE,16.5,53.2,Saskatchewan,1985
WASECA,17.4,23.4,Saskatchewan,1985
CAMEO,16.5,53.2,Saskatchewan,1985
COLONSAY,18.7,67.9,Saskatchewan,1985
DANA CFB,18.1,50.5,Saskatchewan,1985
DINSMORE,19.4,16.5,Saskatchewan,1985
ETHELTON,16.9,38.3,Saskatchewan,1985
HAFFORD,17.3,62.2,Saskatchewan,1985
HAGUE,17.6,40.8,Saskatchewan,1985
HARRIS,19.3,79.0,Saskatchewan,1985
HENRIBOURG,16.0,38.6,Saskatchewan,1985
LENEY,18.5,46.2,Saskatchewan,1985
MARTENSVILLE,17.5,62.0,Saskatchewan,1985
MELFORT CDA,16.9,53.1,Saskatchewan,1985
MILDEN,19.5,28.6,Saskatchewan,1985
OUTLOOK PFRA,19.8,28.0,Saskatchewan,1985
PILGER,17.8,48.8,Saskatchewan,1985
PRINCE ALBERT A,17.1,51.3,Saskatchewan,1985
RADISSON 1,18.0,40.0,Saskatchewan,1985
SASKATOON A,19.0,59.0,Saskatchewan,1985
SASKATOON CENTRAL AVE,18.9,74.1,Saskatchewan,1985
SASKATOON 2,19.4,86.8,Saskatchewan,1985
SASKATOON SRC,17.8,59.5,Saskatchewan,1985
SASKATOON WATER TP,19.4,76.8,Saskatchewan,1985
VANSCOY COMINCO,18.3,75.0,Saskatchewan,1985
VISCOUNT,18.1,59.8,Saskatchewan,1985
BEACON HILL,15.4,43.0,Saskatchewan,1985
BIG RIVER,16.2,26.2,Saskatchewan,1985
BUFFALO NARROWS A,16.7,60.4,Saskatchewan,1985
CLUFF LAKE,15.3,56.2,Saskatchewan,1985
COLLINS BAY,13.5,64.8,Saskatchewan,1985
CREE LAKE,14.7,61.6,Saskatchewan,1985
DAWN LAKE,14.2,63.1,Saskatchewan,1985
GEIKIE RIVER,14.6,140.2,Saskatchewan,1985
GREEN LAKE,15.4,23.3,Saskatchewan,1985
ISLAND FALLS,15.6,64.9,Saskatchewan,1985
KEY LAKE,15.2,76.6,Saskatchewan,1985
LA RONGE A,16.2,44.5,Saskatchewan,1985
LOON LAKE CDA EPF,16.5,32.5,Saskatchewan,1985
MEADOW LAKE A,15.9,34.5,Saskatchewan,1985
SPIRITWOOD,16.6,48.2,Saskatchewan,1985
URANIUM CITY A,15.0,36.8,Saskatchewan,1985
WASKESIU LAKE,15.9,24.1,Saskatchewan,1985
WHITESAND DAM,15.2,79.2,Saskatchewan,1985
AYLSHAM,16.8,100.0,Saskatchewan,1985
CHOICELAND,17.1,88.0,Saskatchewan,1985
LOST RIVER,16.6,73.4,Saskatchewan,1985
MILE 97,15.3,56.6,Saskatchewan,1985
NIPAWIN A,16.6,75.3,Saskatchewan,1985
SMOKY BURN,16.7,77.7,Saskatchewan,1985
ARRAN 23N,16.4,52.1,Saskatchewan,1985
ENDEAVOUR,15.5,35.3,Saskatchewan,1985
HUDSON BAY A,16.6,93.0,Saskatchewan,1985
MCKAGUE 2,16.5,40.0,Saskatchewan,1985
MISTATIM,15.7,54.4,Saskatchewan,1985
PELLY,15.8,65.8,Saskatchewan,1985
PORCUPINE PLAIN,16.6,78.0,Saskatchewan,1985
BALDUR,18.2,35.6,Manitoba,1985
BINSCARTH,17.3,20.8,Manitoba,1985
BIRTLE,17.1,19.7,Manitoba,1985
BOGGY CREEK,15.7,48.7,Manitoba,1985
BRANDON A,17.8,11.4,Manitoba,1985
BRANDON CDA,18.4,18.3,Manitoba,1985
CAMERON,18.6,6.2,Manitoba,1985
CARBERRY,18.2,24.0,Manitoba,1985
CYPRESS RIVER,18.6,31.6,Manitoba,1985
DELORAINE,19.0,11.3,Manitoba,1985
GLENBORO,18.7,22.8,Manitoba,1985
HAMIOTA,17.2,8.6,Manitoba,1985
MINNEDOSA,16.0,23.2,Manitoba,1985
OAKNER,17.8,8.5,Manitoba,1985
PIERSON,18.9,8.0,Manitoba,1985
PORTAGE SOUTHPORT A,19.0,11.1,Manitoba,1985
PORTAGE LA PRAIRIE 2,17.9,12.8,Manitoba,1985
RIDING MTN AUDY,16.0,13.0,Manitoba,1985
RIVERS,19.0,9.6,Manitoba,1985
ROBLIN,16.6,24.7,Manitoba,1985
ROBLIN NORTH,15.1,34.6,Manitoba,1985
ROSSBURN,16.4,13.6,Manitoba,1985
RUSSELL,17.8,17.6,Manitoba,1985
SOMERSET,17.8,36.4,Manitoba,1985
SOURIS,17.3,10.6,Manitoba,1985
STRATHCLAIR,16.7,18.6,Manitoba,1985
TURTLE MOUNTAIN 6,18.4,9.7,Manitoba,1985
VIRDEN,18.8,7.0,Manitoba,1985
WASAGAMING,15.6,12.5,Manitoba,1985
ALTONA,18.8,35.0,Manitoba,1985
CARTWRIGHT,17.6,29.6,Manitoba,1985
DEERWOOD,18.5,30.2,Manitoba,1985
ELM CREEK,18.2,30.8,Manitoba,1985
EMERSON,18.2,50.6,Manitoba,1985
CARMAN 3,18.9,13.2,Manitoba,1985
GLENLEA,17.8,22.4,Manitoba,1985
GRAYSVILLE,19.0,48.0,Manitoba,1985
GUNTON HATCHERY,17.8,92.7,Manitoba,1985
LANDMARK,18.3,41.5,Manitoba,1985
MARQUETTE,18.8,32.3,Manitoba,1985
MORDEN CDA,19.4,40.6,Manitoba,1985
MORDEN RADIO,18.6,35.9,Manitoba,1985
MYRTLE,17.9,28.8,Manitoba,1985
NIVERVILLE,17.6,30.2,Manitoba,1985
PEACE GARDENS,17.6,12.2,Manitoba,1985
NINETTE 1 NW,18.5,20.0,Manitoba,1985
PILOT MOUND (AUT),18.0,32.0,Manitoba,1985
PINEY,17.5,34.8,Manitoba,1985
PLUM COULEE,18.8,45.2,Manitoba,1985
RATHWELL,18.2,34.9,Manitoba,1985
ST ANDREWS A,17.7,20.8,Manitoba,1985
SELKIRK,18.7,49.6,Manitoba,1985
SPRAGUE,17.7,40.2,Manitoba,1985
STARBUCK,17.6,41.0,Manitoba,1985
STEINBACH,17.7,42.4,Manitoba,1985
STONEWALL,18.2,43.2,Manitoba,1985
STONY MOUNTAIN,18.1,29.4,Manitoba,1985
TURTLE MOUNTAIN 11,17.5,11.6,Manitoba,1985
WINNIPEG INT'L A,18.8,34.0,Manitoba,1985
WINNIPEG STP,18.4,25.9,Manitoba,1985
ZHODA,17.6,10.0,Manitoba,1985
ARBORG,16.9,79.0,Manitoba,1985
BEAUSEJOUR 2,17.7,48.6,Manitoba,1985
BERENS RIVER CS,15.3,19.4,Manitoba,1985
BISSETT,16.0,35.7,Manitoba,1985
BROAD VALLEY,17.3,73.0,Manitoba,1985
ELMA,17.0,48.4,Manitoba,1985
FALCON LAKE TCPL 45,17.3,56.7,Manitoba,1985
FISHER BRANCH SOUTH,17.0,77.2,Manitoba,1985
FRASERWOOD,17.8,34.0,Manitoba,1985
GIMLI,17.6,40.9,Manitoba,1985
GRAND RAPIDS HYDRO,17.5,49.4,Manitoba,1985
GREAT FALLS,18.2,26.6,Manitoba,1985
HODGSON 2,15.6,52.0,Manitoba,1985
INDIAN BAY,16.9,50.7,Manitoba,1985
PINAWA WNRE,17.9,43.6,Manitoba,1985
PINE DOCK,17.3,37.8,Manitoba,1985
PINE FALLS,17.6,26.3,Manitoba,1985
OSTENFELD,17.1,44.0,Manitoba,1985
ASHERN,17.0,39.9,Manitoba,1985
BIRCH RIVER,16.8,71.2,Manitoba,1985
DAUPHIN A,17.6,26.2,Manitoba,1985
DELTA MARSH CS,17.6,22.4,Manitoba,1985
ERIKSDALE 1,16.2,41.0,Manitoba,1985
GILBERT PLAINS,17.0,25.2,Manitoba,1985
COWAN,16.5,87.0,Manitoba,1985
GLADSTONE SOUTH,18.5,22.6,Manitoba,1985
GRASS RIVER,18.2,17.2,Manitoba,1985
LAKE DAUPHIN,17.9,30.3,Manitoba,1985
LANGRUTH,17.9,21.8,Manitoba,1985
LUNDAR,17.1,17.0,Manitoba,1985
LUNDAR 4SW,17.9,17.4,Manitoba,1985
MACGREGOR,18.7,26.0,Manitoba,1985
MEADOW PORTAGE,17.5,46.0,Manitoba,1985
MOOSEHORN COOK,17.6,55.8,Manitoba,1985
NEEPAWA WATER,18.3,21.4,Manitoba,1985
OVERFLOWING RIVER,16.1,50.5,Manitoba,1985
OCHRE RIVER,18.1,33.4,Manitoba,1985
PINE RIVER,16.1,65.1,Manitoba,1985
PLUMAS,18.0,16.0,Manitoba,1985
SWAN RIVER,17.9,57.2,Manitoba,1985
VOGAR,18.7,29.1,Manitoba,1985
WILSON CREEK WEIR CS,18.5,21.6,Manitoba,1985
FLIN FLON,17.4,64.9,Manitoba,1985
FLIN FLON A,16.5,60.5,Manitoba,1985
PASQUIA PROJECT,16.2,33.0,Manitoba,1985
THE PAS A,16.5,36.8,Manitoba,1985
CHURCHILL A,11.5,59.4,Manitoba,1985
CROSS LAKE JENPEG,15.9,47.0,Manitoba,1985
GILLAM A,13.7,63.8,Manitoba,1985
ISLAND LAKE A,15.7,37.8,Manitoba,1985
KELSEY HYDRO,14.6,67.7,Manitoba,1985
LYNN LAKE A,14.4,92.8,Manitoba,1985
RUTTAN LAKE,14.3,66.5,Manitoba,1985
SOUTH INDIAN LAKE,14.4,104.7,Manitoba,1985
THOMPSON A,14.1,66.4,Manitoba,1985
WABOWDEN,15.5,57.6,Manitoba,1985
NORWAY HOUSE A,16.2,39.3,Manitoba,1985
NORWAY HOUSE FORESTRY,17.4,46.8,Manitoba,1985
BIG TROUT LAKE,14.7,78.0,Ontario,1985
EAR FALLS,16.9,39.6,Ontario,1985
LANSDOWNE HOUSE,15.7,79.2,Ontario,1985
PICKLE LAKE (AUT),16.0,91.4,Ontario,1985
RED LAKE A,16.8,40.7,Ontario,1985
ATIKOKAN,16.3,54.6,Ontario,1985
ATIKOKAN MARMION,18.5,55.3,Ontario,1985
BARWICK,17.8,62.0,Ontario,1985
FORT FRANCES,18.5,41.8,Ontario,1985
FORT FRANCES A,18.0,51.3,Ontario,1985
MINE CENTRE,17.1,20.0,Ontario,1985
SLEEMAN,17.8,91.0,Ontario,1985
STRATTON,17.1,109.6,Ontario,1985
EMO RADBOURNE,17.3,59.2,Ontario,1985
DRYDEN,17.3,64.2,Ontario,1985
DRYDEN A,17.5,57.8,Ontario,1985
KENORA A,18.7,28.8,Ontario,1985
KENORA TCPL 49,18.7,21.1,Ontario,1985
RAWSON LAKE,18.4,41.3,Ontario,1985
SIOUX LOOKOUT A,17.0,59.5,Ontario,1985
ABITIBI CAMP 11,15.0,92.2,Ontario,1985
ABITIBI CAMP 300,16.1,81.8,Ontario,1985
BEARDMORE,14.8,138.4,Ontario,1985
CAMERON FALLS,15.7,90.6,Ontario,1985
CARIBOU ISLAND,10.1,89.4,Ontario,1985
GERALDTON A,15.2,130.2,Ontario,1985
FLINT,15.8,102.0,Ontario,1985
MANITOUWADGE,16.0,119.9,Ontario,1985
NOLALU SSW22,16.5,116.8,Ontario,1985
PUKASKWA NATL PARK,12.3,156.1,Ontario,1985
SLATE ISLAND,11.3,144.6,Ontario,1985
TERRACE BAY,12.6,81.0,Ontario,1985
THUNDER BAY A,16.7,84.3,Ontario,1985
UPSALA TCPL 62,15.8,93.8,Ontario,1985
WELCOME ISLAND (AUT),15.8,81.0,Ontario,1985
WHITEFISH LAKE,15.7,118.4,Ontario,1985
THUNDER BAY WPCP,16.0,83.0,Ontario,1985
BLIND RIVER HYDRO CENTRE,17.2,83.4,Ontario,1985
ELLIOT LAKE STANLEIGH,18.0,100.0,Ontario,1985
HIGH FALLS,13.8,139.4,Ontario,1985
HORNEPAYNE,13.6,86.2,Ontario,1985
MISSISSAGI ONT HYDRO,17.5,62.2,Ontario,1985
MONTREAL FALLS,14.9,132.9,Ontario,1985
SAULT STE MARIE 2,16.7,61.5,Ontario,1985
SAULT STE MARIE A,16.0,58.3,Ontario,1985
WAWA A,12.3,183.3,Ontario,1985
CHAPLEAU A,15.4,83.4,Ontario,1985
CONISTON STP,18.1,136.5,Ontario,1985
LIVELY,18.0,151.6,Ontario,1985
MASSEY,17.8,48.1,Ontario,1985
MONETVILLE,18.1,136.0,Ontario,1985
SUDBURY A,17.6,148.3,Ontario,1985
TURBINE,17.7,89.4,Ontario,1985
WEBBWOOD,17.1,70.9,Ontario,1985
COCHRANE,15.1,122.1,Ontario,1985
EARLTON A,16.7,168.5,Ontario,1985
FORT ALBANY,12.2,173.5,Ontario,1985
IROQUOIS FALLS,15.8,150.0,Ontario,1985
ISLAND FALLS,16.0,146.6,Ontario,1985
KAPUSKASING CDA,15.5,150.9,Ontario,1985
KAPUSKASING A,15.5,157.4,Ontario,1985
KIRKLAND LAKE,16.0,158.5,Ontario,1985
MATTICE TCPL,14.7,157.9,Ontario,1985
MOOSONEE UA,13.4,138.3,Ontario,1985
SMOKY FALLS,16.0,190.0,Ontario,1985
TIMMINS A,15.6,133.8,Ontario,1985
BONFIELD,17.6,237.9,Ontario,1985
CRYSTAL FALLS,17.3,159.7,Ontario,1985
DWIGHT,17.0,98.4,Ontario,1985
FRENCH R CHAUDIERE DAM,18.4,190.4,Ontario,1985
LAKE OPEONGO,17.0,56.8,Ontario,1985
LAKE TRAVERSE,18.0,110.2,Ontario,1985
MADAWASKA,17.1,91.6,Ontario,1985
NORTH BAY A,17.1,167.4,Ontario,1985
GORE BAY A,18.4,64.1,Ontario,1985
GREAT DUCK ISLAND,15.9,77.2,Ontario,1985
SOUTH BAYMOUTH,17.3,83.5,Ontario,1985
ALFRED,18.8,85.0,Ontario,1985
ARNPRIOR GRANDON,19.7,43.0,Ontario,1985
AVONMORE,19.3,59.4,Ontario,1985
BROCKVILLE PCC,20.0,80.4,Ontario,1985
CARLETON PLACE,19.8,42.0,Ontario,1985
CATARAQUI TS,19.8,81.4,Ontario,1985
CHALK RIVER AECL,19.1,80.2,Ontario,1985
CHATS FALLS,20.1,36.8,Ontario,1985
CHENAUX,20.2,70.1,Ontario,1985
CHESTERVILLE 2,19.4,79.8,Ontario,1985
COMBERMERE,18.0,50.4,Ontario,1985
CORNWALL,20.9,92.7,Ontario,1985
CORNWALL ONT HYDRO,20.8,52.9,Ontario,1985
DALHOUSIE MILLS,19.1,55.5,Ontario,1985
GLENBURNIE,19.3,54.2,Ontario,1985
GLEN GORDON,19.9,38.1,Ontario,1985
GODFREY,19.3,30.8,Ontario,1985
DRUMMOND CENTRE,19.0,47.1,Ontario,1985
HARTINGTON IHD,19.6,94.2,Ontario,1985
KEMPTVILLE,19.8,65.1,Ontario,1985
KINGSTON A,19.1,67.6,Ontario,1985
KINGSTON PUMPING STATION,20.7,70.8,Ontario,1985
LYNDHURST SHAWMERE,19.9,55.3,Ontario,1985
MALLORYTOWN LANDING,20.2,62.2,Ontario,1985
MATAWATCHAN,17.5,45.0,Ontario,1985
MORRISBURG,20.2,103.0,Ontario,1985
OTTAWA CDA,20.1,68.3,Ontario,1985
OTTAWA MACDONALD-CARTIER INT'L  A,20.3,67.2,Ontario,1985
PETAWAWA A,17.9,89.0,Ontario,1985
PETAWAWA NAT FORESTRY,17.8,95.7,Ontario,1985
RENFREW,19.1,52.4,Ontario,1985
ROLPHTON NPD,18.4,131.3,Ontario,1985
RUSSELL,20.0,62.8,Ontario,1985
SARSFIELD,19.5,81.9,Ontario,1985
SMITHS FALLS TS,19.3,39.6,Ontario,1985
SOUTH MOUNTAIN,19.9,57.4,Ontario,1985
ALLISTON NELSON,19.7,45.3,Ontario,1985
BARRIE WPCC,19.2,92.8,Ontario,1985
BEATRICE 2,17.1,136.6,Ontario,1985
BRACEBRIDGE,18.1,127.1,Ontario,1985
BRACEBRIDGE ONT HYDRO,17.7,93.8,Ontario,1985
BURKS FALLS,17.4,202.2,Ontario,1985
CHATSWORTH,18.2,63.6,Ontario,1985
COLDWATER WARMINSTER,19.0,74.2,Ontario,1985
COOKSTOWN,18.6,65.8,Ontario,1985
DORSET MOE,17.5,90.1,Ontario,1985
DUNCHURCH,17.7,111.4,Ontario,1985
DURHAM,18.3,60.4,Ontario,1985
ESSA ONT HYDRO,19.2,82.5,Ontario,1985
HANOVER,18.9,44.8,Ontario,1985
HONEY HBR BEAUSOLEIL,19.7,82.6,Ontario,1985
HUNTSVILLE WPCP,18.5,44.8,Ontario,1985
